Time,Speed,Throttle,Brake,RPM,nGear,DRS,X,Y
0 days 00:00:18.341000,249.0,100.0,False,11162.0,6,0,3248.9508045998045,7899.637493041095
0 days 00:00:18.702000,255.0,100.0,False,11380.0,6,0,3429.0,7863.0
0 days 00:00:18.862000,256.14695314191755,100.0,False,11475.197110779158,6,0,3624.0,7823.0
0 days 00:00:18.981000,257.0,100.0,False,11546.0,6,0,3699.1901728641737,7807.539900204471
0 days 00:00:19.162000,259.828124,100.0,False,10907.9752256,6,0,3751.0,7797.0
0 days 00:00:19.301000,262.0,100.0,False,10418.0,6,0,3843.0153287954536,7778.55926662851
0 days 00:00:19.402000,262.8416661333333,100.0,False,10472.2874656,6,0,3921.0,7763.0
0 days 00:00:19.541000,264.0,100.0,False,10547.0,7,0,4023.4994642077977,7742.657965977726
0 days 00:00:19.762000,265.5785709714286,100.0,False,10624.3499776,7,0,4181.0,7711.0
0 days 00:00:19.821000,266.0,100.0,False,10645.0,7,0,4223.655586499736,7702.151026513257
0 days 00:00:19.882000,266.91499904,100.0,False,10661.16498304,7,0,4268.0,7693.0
0 days 00:00:20.021000,269.0,100.0,False,10698.0,7,0,4369.691151387482,7672.825683606337
0 days 00:00:20.102000,269.80999936,100.0,False,10731.61497344,7,0,4429.0,7661.0
0 days 00:00:20.221000,271.0,100.0,False,10781.0,7,0,4515.932219243266,7643.1317571642485
0 days 00:00:20.262000,271.3416661333333,100.0,False,10794.43886791111,7,0,4546.0,7637.0
0 days 00:00:20.502000,273.3416661333333,100.0,False,10873.105534577779,7,0,4724.0,7602.0
0 days 00:00:20.581000,274.0,100.0,False,10899.0,7,0,4783.134905673134,7590.514173058069
0 days 00:00:20.781000,275.0,100.0,False,10934.0,7,0,4933.251810336495,7561.148769116881
0 days 00:00:20.782000,275.006999552,100.0,False,10934.22998528,7,0,4934.0,7561.0
0 days 00:00:20.942000,276.126999552,100.0,False,10971.02998528,7,0,5054.0,7537.0
0 days 00:00:21.202000,277.946999552,100.0,False,11030.82998528,7,0,5251.0,7499.0
0 days 00:00:21.422000,279.486999552,100.0,False,11081.42998528,7,0,5419.0,7467.0
0 days 00:00:21.582000,280.606999552,100.0,False,11118.22998528,7,0,5618.0,7429.0
0 days 00:00:21.781000,282.0,100.0,False,11164.0,7,0,5770.809207155485,7400.480700134262
0 days 00:00:21.981000,283.0,98.0,False,11059.0,7,0,5857.693049995396,7385.017203286049
0 days 00:00:22.042000,281.78000128,83.05501568,False,11009.437552,7,0,5896.0,7378.0
0 days 00:00:22.202000,278.58000128,43.85501568,False,10879.437552,7,0,6020.0,7355.0
0 days 00:00:22.381000,275.0,0.0,False,10734.0,7,0,6168.891735396524,7327.318561773403
0 days 00:00:22.403000,274.312496,0.0,False,10705.9498368,7,0,6187.0,7324.0
0 days 00:00:22.541000,270.0,0.0,False,10530.0,7,0,6298.315105882908,7303.957029721778
0 days 00:00:22.663000,263.0285787428571,0.0,False,10204.08605622857,7,0,6392.0,7287.0
0 days 00:00:22.821000,254.0,0.0,True,9782.0,7,0,6503.695116310075,7266.235918188856
0 days 00:00:22.823000,253.875008,0.0,True,9776.2378688,7,0,6505.0,7266.0
0 days 00:00:22.981000,244.0,0.0,True,9321.0,7,0,6600.324938630604,7249.493349911908
0 days 00:00:23.023000,239.8000128,0.0,True,9372.02984448,7,0,6626.0,7245.0
0 days 00:00:23.181000,224.0,0.0,True,9564.0,7,0,6728.958555299912,7226.219317965793
0 days 00:00:23.243000,218.41998848,0.0,True,9600.58007552,7,0,6768.0,7219.0
0 days 00:00:23.381000,206.0,0.0,True,9682.0,7,0,6847.4030145980605,7204.3306273196395
0 days 00:00:23.443000,200.46427428571428,0.0,True,9628.857033142856,7,0,6881.0,7198.0
0 days 00:00:23.661000,181.0,0.0,True,9442.0,5,0,6992.451386814832,7175.443538950537
0 days 00:00:23.683000,179.3499904,0.0,True,9462.9917888,5,0,7003.0,7173.0
0 days 00:00:23.901000,163.0,0.0,True,9671.0,4,0,7100.60277751045,7146.1013557019505
0 days 00:00:23.963000,159.8999936,0.0,True,9425.3244928,4,0,7127.0,7137.0
0 days 00:00:24.083000,153.8999936,0.0,True,8949.8244928,4,0,7176.0,7118.0
0 days 00:00:24.141000,151.0,0.0,True,8720.0,4,0,7196.686443984849,7109.774739112681
0 days 00:00:24.363000,141.74999466666668,0.0,True,8205.083036444445,4,0,7278.0,7069.0
0 days 00:00:24.501000,136.0,0.0,True,7885.0,4,0,7359.540614409726,7014.080600535217
0 days 00:00:24.523000,135.50499712,0.0,True,7859.36985088,4,0,7371.0,7006.0
0 days 00:00:24.901000,127.0,0.0,False,7419.0,4,0,7441.272315353922,6939.516423054004
0 days 00:00:25.023000,125.78607053884834,0.0,False,7391.686587124087,4,0,7452.0,6915.0
0 days 00:00:25.102000,125.0,0.0,False,7374.0,4,0,7461.840010544139,6893.3794274976535
0 days 00:00:25.262000,123.28571428571429,0.0,False,7223.142857142857,4,0,7483.0,6841.0
0 days 00:00:25.382000,122.0,0.0,False,7110.0,4,0,7492.093259048624,6801.372511299471
0 days 00:00:25.422000,121.56989257178091,0.4301074282190846,False,7110.860214856438,4,0,7494.0,6788.0
0 days 00:00:25.622000,119.4193554306855,2.5806445693145075,False,7115.161289138629,4,0,7497.0,6720.0
0 days 00:00:25.661000,119.0,3.0,False,7116.0,4,0,7496.775795325374,6706.970316344654
0 days 00:00:25.862000,117.7437504,19.3312448,False,7199.5405984,4,0,7492.0,6641.0
0 days 00:00:25.962000,117.1187504,27.4562448,False,7241.1030984,4,0,7487.0,6608.0
0 days 00:00:25.981000,117.0,29.0,False,7249.0,4,0,7485.841746532829,6601.78826354757
0 days 00:00:26.181000,119.0,29.0,False,7249.0,4,0,7470.090562048973,6538.30618233357
0 days 00:00:26.182000,119.0124992,29.0374976,False,7249.87744384,4,0,7470.0,6538.0
0 days 00:00:26.382000,121.5124992,36.5374976,False,7425.37744384,4,0,7447.0,6475.0
0 days 00:00:26.581000,124.0,44.0,False,7600.0,4,0,7400.945973353677,6389.223143046524
0 days 00:00:26.702000,126.68888746666667,51.0583296,False,7823.8498816,4,0,7372.0,6342.0
