time_s,distance_m,speed,long_accel,throttle,full_throttle,brake,gear,gear_shift,rpm,drs
62.463,3358.8910099754694,197.8500096,-20.833316225410165,0.0,0,1,6,0.0,10560.7312192,0
62.683,3364.885634658136,181.3499904,-20.8331982231266,0.0,0,1,6,0.0,10613.6687808,0
62.701,3369.885634658136,180.0,-19.833199133902447,0.0,0,1,5,-1.0,10618.0,0
62.883,3374.7086900892473,173.62999552,-9.722159924026528,0.0,0,1,5,0.0,10205.76971008,0
62.901,3383.7911900892473,173.0,-9.4429088771309,0.0,0,1,4,-1.0,10165.0,0
63.261,3392.7045234225807,168.0,-4.585217033629306,0.0,0,0,4,0.0,9718.0,0
63.283,3396.9419215168027,167.6333312,-4.629653309653349,0.0,0,0,4,0.0,9700.583232,0
63.443,3401.936745526284,164.96666453333333,-4.629622130830512,0.0,0,0,4,0.0,9573.916565333331,0
63.501,3406.9023010818396,164.0,-4.78358917126539,0.0,0,0,4,0.0,9528.0,0
63.661,3411.8664677485062,161.0,-4.457588782330731,0.0,0,0,4,0.0,9303.0,0
63.723,3416.3128565840616,160.06999808,-4.166671404082948,0.31000064,0,0,4,0.0,9266.72992512,0
63.861,3425.5295232507283,158.0,-4.79414332427843,1.0,0,0,4,0.0,9186.0,0
64.143,3432.2775789307284,151.8312528,-6.076406598648077,30.9624864,0,0,4,0.0,9129.6000256,0
64.181,3436.052578930728,151.0,-4.793611825861426,35.0,0,0,4,0.0,9122.0,0
64.323,3439.4081344862834,151.0,0.0,42.9875072,0,0,4,0.0,9148.625024,0
64.341,3444.0010511529504,151.0,0.2271746291367691,44.0,0,0,4,0.0,9152.0,0
64.542,3449.5473011529507,153.0,3.8442049014187205,48.0,0,0,4,0.0,9388.0,0
64.602,3451.6848011529505,153.9,4.1666666666670835,50.1,0,0,4,0.0,9436.9,0
64.642,3454.688967819617,154.5,4.166666666667055,51.5,0,0,4,0.0,9469.5,0
64.742,3461.6223011529505,156.0,3.587962962962692,55.0,0,0,4,0.0,9551.0,0
64.962,3466.8834122640615,157.83333333333334,2.314814814814781,67.83333333333333,0,0,4,0.0,9844.333333333334,0
